,Name,Date,Time,Theatre,Cluster
105,Жуй. Ковтай. Про їжу і людей,2023-12-19,19:00:00,Кінотеатр «Ліра»,Вечірня
106,Сто Тисяч ,2023-12-20,18:00:00,Київський академічний драматичний театр на Подолі,Вечірня
107,Френк Сінатра ,2023-12-20,18:00:00,Київський Національний Академічний театр оперети,Вечірня
108,Ідеальна пара.,2023-12-20,18:00:00,Київський академічний театр драми і комедії на лівому березі Дніпра,Вечірня
109,Романтика. ,2023-12-20,18:00:00,Київський академічний театр драми і комедії на лівому березі Дніпра,Вечірня
110,Вистава «TOPLESS. Все включено!»,2023-12-20,18:30:00,CARIBBEAN club,Вечірня
111,«Вибери Кращу Версію» ,2023-12-20,19:00:00,Театр Драматургів,Вечірня
112,"Кефір, зефір і кашемір ",2023-12-20,19:00:00,Театр на Михайлівській,Вечірня
113,"У Києві, на Подолі, або «Гдє Ві сохнітє бєльйо?» ",2023-12-20,19:00:00,"Київський академічний театр ""Колесо""",Вечірня
114,Пісні Полісся,2023-12-21,18:00:00,Український малий драматичний театр,Вечірня
115,Кортес ,2023-12-21,18:00:00,Київський академічний театр “Золоті ворота”,Вечірня
116,Занадто одружений таксист ,2023-12-21,18:00:00,Національний академічний драматичний театр ім.Лесі Українки,Вечірня
117,«37 листівок».,2023-12-21,18:00:00,Київський академічний театр драми і комедії на лівому березі Дніпра,Вечірня
118,Спостерігач ,2023-12-21,18:00:00,Київський академічний драматичний театр на Подолі,Вечірня
119,Випадок у «Готелі Дю Комерс» ,2023-12-21,18:00:00,"Київський академічний театр ""Колесо""",Вечірня
120,Театральне об'єднання Fe.Nik.S. «Клуб хтивих невдах»,2023-12-21,18:30:00,Культурний центр «Арт-Братислава»,Вечірня
121,Варшавська мелодія ,2023-12-21,18:30:00,Національний академічний драматичний театр ім.Лесі Українки,Вечірня
122,«Вибери Кращу Версію» ,2023-12-21,19:00:00,Театр Драматургів,Вечірня
123,22 Театр #НЕЙЧЕРАЛ,2023-12-21,19:00:00,Київський академічний театр ляльок: Замок на горі,Вечірня
124,Королева детективів ,2023-12-21,19:00:00,Театральна зала Київської фортеці,Вечірня
125,Мавка Шоу,2023-12-22,17:00:00,Концерт-хол ВДНГ,Післяобідня
126,Пісні Полісся ,2023-12-22,18:00:00,Український малий драматичний театр,Вечірня
127,Дамський кравець ,2023-12-22,18:00:00,Національний академічний драматичний театр ім.Лесі Українки,Вечірня
128,Кортес ,2023-12-22,18:00:00,Київський академічний театр “Золоті ворота”,Вечірня
129,Сімейний альбом / Album di Famiglia,2023-12-22,18:00:00,Київський академічний театр драми і комедії на лівому березі Дніпра,Вечірня
130,Дзвінок із минулого,2023-12-22,18:00:00,Київський академічний театр драми і комедії на лівому березі Дніпра,Вечірня
131,Ножиці ,2023-12-22,18:00:00,Київський академічний драматичний театр на Подолі,Вечірня
132,Тіні забутих предків ,2023-12-22,18:00:00,Київський академічний театр українського фольклору «Берегиня»,Вечірня
133,Чорний квадрат «Шукаю чоловіка на кожен день»,2023-12-22,18:30:00,Палац культури «Дарниця»,Вечірня
134,Кайдаші 2.0. ,2023-12-22,18:30:00,Сцена 6,Вечірня
